2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,078 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - Received property changed event for muted old = 'false' new = 'true' room = 'MeetMeRoom[roomNumber='85115',systemHashcode=9178456]'
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - New data mute = true
2008-04-02 20:02:09,093 [Asterisk-Java DaemonPool-1-thread-1] INFO  o.b.a.meetme.ConferenceRoomListener - User mute event: [1,true]
2008-04-02 20:03:55,937 [pool-4-thread-13] INFO  o.b.asterisk.meetme.Application - MeetMe::roomLeave - 6
2008-04-02 20:03:55,937 [pool-4-thread-13] INFO  o.b.asterisk.meetme.Application - MeetMe::appDisconnect - 6
2008-04-02 20:03:59,046 [pool-4-thread-14] INFO  o.b.asterisk.meetme.Application - MeetMe::roomLeave - 1
2008-04-02 20:03:59,046 [pool-4-thread-14] INFO  o.b.asterisk.meetme.Application - MeetMe::appDisconnect - 1
